cluster,source_entity,source_field,evidence_status,declared_type,declared_not_null,inline_primary_key,inline_unique,ddl_receipt,annotation_receipt,proposed_contract_field,proposed_type,handling,target_status
identity,admin_token,token_created_datetime,declared,datetime(),True,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:21,identity.AdminToken.token_created_datetime,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_device,declared,string(),False,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:15,identity.AdminToken.token_device,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_device_id,declared,string(),False,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:16,identity.AdminToken.token_device_id,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_expiry_datetime,declared,datetime(),False,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:19,identity.AdminToken.token_expiry_datetime,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_id,declared,primaryKey(),False,True,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:12,identity.AdminToken.token_id,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_last_used_datetime,declared,datetime(),False,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:18,identity.AdminToken.token_last_used_datetime,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_status,declared,smallInteger(),True,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:17,identity.AdminToken.token_status,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,token_value,declared,string(),True,False,False,console/migrations/m170209_151757_create_token_tables.php:12,common/models/AdminToken.php:14,identity.AdminToken.token_value,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
identity,admin_token,total_attempt,declared,tinyInteger(1),False,False,False,console/migrations/m250130_115508_2step_auth.php:75,,identity.AdminToken.total_attempt,ExcludedCredential,DROP; synthetic auth only,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_created_at,declared,dateTime(),False,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:21,organizations.Area.area_created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_created_by,declared,string(60),False,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:23,organizations.Area.area_created_by,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_latitude,declared,"decimal(9,6)",False,False,False,console/migrations/m200923_100246_area_lat_long.php:15,common/models/Area.php:19,organizations.Area.area_latitude,Coordinate,synthetic coordinates; preserve paired start/end and valid/missing classes,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_longitude,declared,"decimal(9,6)",False,False,False,console/migrations/m200923_100246_area_lat_long.php:16,common/models/Area.php:20,organizations.Area.area_longitude,Coordinate,synthetic coordinates; preserve paired start/end and valid/missing classes,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_name_ar,declared,string(),True,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:18,organizations.Area.area_name_ar,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_name_en,declared,string(),True,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:17,organizations.Area.area_name_en,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_updated_at,declared,dateTime(),False,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:22,organizations.Area.area_updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_updated_by,declared,string(60),False,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:24,organizations.Area.area_updated_by,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,area_uuid,declared,string(60),False,False,False,console/migrations/m200922_070412_candidate_location.php:21,common/models/Area.php:15,organizations.Area.area_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
organizations,area,country_id,declared,integer(11),True,False,False,console/migrations/m200925_134404_area_country.php:19,common/models/Area.php:16,organizations.Area.country_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
communication,attachment,attachment_uuid,declared,char(60),False,False,False,console/migrations/m240612_071616_ticket.php:65,common/models/Attachment.php:13,communication.Attachment.attachment_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
communication,attachment,file_path,declared,string(250),False,False,False,console/migrations/m240612_071616_ticket.php:65,common/models/Attachment.php:14,communication.Attachment.file_path,DocumentReference,substitute bytes; private owner/type/version; unsupported type HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_address,declared,string(100),False,False,False,console/migrations/m200623_054824_update_bank_table.php:16,common/models/Bank.php:16,finance.Bank.bank_address,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_code_abk,declared,integer(5),False,False,False,console/migrations/m240912_173048_bank.php:15,common/models/Bank.php:15,finance.Bank.bank_code_abk,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_iban_code,declared,string(64),True,False,False,console/migrations/m200715_082751_bank_iban.php:15,common/models/Bank.php:13,finance.Bank.bank_iban_code,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_id,declared,primaryKey(),False,True,False,console/migrations/m170303_143806_bank.php:9,common/models/Bank.php:11,finance.Bank.bank_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_name,declared,string(100),False,False,False,console/migrations/m170303_143806_bank.php:9,common/models/Bank.php:12,finance.Bank.bank_name,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_swift_code,declared,string(100),False,False,False,console/migrations/m200623_054824_update_bank_table.php:15,common/models/Bank.php:14,finance.Bank.bank_swift_code,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,bank_transfer_type,declared,char(3),False,False,False,console/migrations/m200623_054824_update_bank_table.php:17,common/models/Bank.php:17,finance.Bank.bank_transfer_type,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank,deleted,declared,smallInteger(1),True,False,False,console/migrations/m170619_070654_soft_delete_pending_tables.php:13,common/models/Bank.php:18,finance.Bank.deleted,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,bank_transaction_id,declared,char(60),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:13,finance.BankTransaction.bank_transaction_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,contact_id,declared,char(60),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:14,finance.BankTransaction.contact_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,created_at,declared,dateTime(),True,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:32,finance.BankTransaction.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,currency_code,declared,char(3),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:16,finance.BankTransaction.currency_code,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,currency_rate,declared,"double(15,8)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:15,finance.BankTransaction.currency_rate,ExactDecimal,synthetic balanced amounts; currency/scale validation; counter overrides apply,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,date,declared,dateTime(),True,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:31,finance.BankTransaction.date,LocalDate,preserve relative dates with coherent synthetic calendar; invalid date HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,has_attachments,declared,boolean(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:17,finance.BankTransaction.has_attachments,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,is_reconciled,declared,boolean(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:18,finance.BankTransaction.is_reconciled,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,line_amount_types,declared,string(100),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:19,finance.BankTransaction.line_amount_types,ExactDecimal,synthetic balanced amounts; currency/scale validation; counter overrides apply,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,overpayment_id,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:20,finance.BankTransaction.overpayment_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,prepayment_id,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:21,finance.BankTransaction.prepayment_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,reference,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:22,finance.BankTransaction.reference,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,status,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:23,finance.BankTransaction.status,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,status_attribute_string,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:24,finance.BankTransaction.status_attribute_string,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,sub_total,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:25,finance.BankTransaction.sub_total,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,total,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:26,finance.BankTransaction.total,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,total_tax,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:27,finance.BankTransaction.total_tax,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,type,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:28,finance.BankTransaction.type,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,updated_at,declared,dateTime(),True,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:33,finance.BankTransaction.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,url,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:29,finance.BankTransaction.url,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction,validation_errors,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:30,common/models/BankTransaction.php:30,finance.BankTransaction.validation_errors,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_contact,contact_id,declared,char(60),False,False,False,console/migrations/m240328_182245_bank_transaction.php:21,common/models/BankTransactionContact.php:13,finance.BankTransactionContact.contact_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_contact,created_at,declared,dateTime(),True,False,False,console/migrations/m240328_182245_bank_transaction.php:21,common/models/BankTransactionContact.php:15,finance.BankTransactionContact.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_contact,name,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:21,common/models/BankTransactionContact.php:14,finance.BankTransactionContact.name,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_contact,updated_at,declared,dateTime(),True,False,False,console/migrations/m240328_182245_bank_transaction.php:21,common/models/BankTransactionContact.php:16,finance.BankTransactionContact.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,account_code,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:12,finance.BankTransactionLineItem.account_code,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,account_id,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:13,finance.BankTransactionLineItem.account_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,bank_transaction_id,declared,char(60),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:11,finance.BankTransactionLineItem.bank_transaction_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,description,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:14,finance.BankTransactionLineItem.description,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,discount_amount,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:15,finance.BankTransactionLineItem.discount_amount,ExactDecimal,synthetic balanced amounts; currency/scale validation; counter overrides apply,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,discount_rate,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:16,finance.BankTransactionLineItem.discount_rate,ExactDecimal,synthetic balanced amounts; currency/scale validation; counter overrides apply,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,item_code,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:17,finance.BankTransactionLineItem.item_code,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,line_amount,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:18,finance.BankTransactionLineItem.line_amount,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,line_item_id,declared,char(60),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:10,finance.BankTransactionLineItem.line_item_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,quantity,declared,integer(11),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:19,finance.BankTransactionLineItem.quantity,ExactInteger,synthetic bounded values; range and null checks,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,repeating_invoice_id,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:20,finance.BankTransactionLineItem.repeating_invoice_id,UnverifiedReference,name-shaped reference only; no PK/FK/ORM evidence; HOLD before joining,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,tax_amount,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:21,finance.BankTransactionLineItem.tax_amount,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,tax_type,declared,string(),False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:22,finance.BankTransactionLineItem.tax_type,SourceEnum,explicit per-domain mapping; unknown value HOLD; never grants,PROPOSED; runtime schema and semantic acceptance unverified
finance,bank_transaction_line_item,unit_amount,declared,"double(15, 3)",False,False,False,console/migrations/m240328_182245_bank_transaction.php:72,common/models/BankTransactionLineItem.php:23,finance.BankTransactionLineItem.unit_amount,MoneyDecimal,exact coefficient/scale and currency; snapshots immutable; unresolved currency HOLD,PROPOSED; runtime schema and semantic acceptance unverified
identity,blocked_ip,created_at,declared,dateTime(),False,False,False,console/migrations/m240203_060625_block_ip.php:29,common/models/BlockedIp.php:17,identity.BlockedIp.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
identity,blocked_ip,ip_address,declared,string(45),False,False,False,console/migrations/m240203_060625_block_ip.php:29,common/models/BlockedIp.php:15,identity.BlockedIp.ip_address,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
identity,blocked_ip,ip_uuid,declared,char(60),False,False,False,console/migrations/m240203_060625_block_ip.php:29,common/models/BlockedIp.php:14,identity.BlockedIp.ip_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
identity,blocked_ip,note,declared,string(255),False,False,False,console/migrations/m240203_060625_block_ip.php:29,common/models/BlockedIp.php:16,identity.BlockedIp.note,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
identity,blocked_ip,updated_at,declared,dateTime(),False,False,False,console/migrations/m240203_060625_block_ip.php:29,common/models/BlockedIp.php:18,identity.BlockedIp.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_created_datetime,declared,datetime(),True,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:19,organizations.Brand.brand_created_datetime,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_logo,declared,string(),False,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:18,organizations.Brand.brand_logo,DocumentReference,substitute bytes; private owner/type/version; unsupported type HOLD,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_name_ar,declared,string(),True,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:17,organizations.Brand.brand_name_ar,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_name_en,declared,string(),True,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:16,organizations.Brand.brand_name_en,SensitiveText,replace; never copy free text or destination; no identity joins,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_updated_datetime,declared,datetime(),True,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:20,organizations.Brand.brand_updated_datetime,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,brand_uuid,declared,char(60),False,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:14,organizations.Brand.brand_uuid,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
organizations,brand,company_id,declared,integer(),False,False,False,console/migrations/m200818_104012_brand.php:21,common/models/Brand.php:15,organizations.Brand.company_id,SourceRef,namespace by system/table; exact join; no email matching,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,created_at,declared,dateTime(),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:23,communication.Campaign.created_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,investment,declared,"decimal(10, 3)",False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:21,communication.Campaign.investment,ExactDecimal,preserve decimal string; reject loss of precision,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,no_of_clicks,declared,integer(11),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:20,communication.Campaign.no_of_clicks,DerivedCount,recompute from imported canonical rows; compare to source separately,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,no_of_signups,declared,integer(11),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:19,communication.Campaign.no_of_signups,DerivedCount,recompute from imported canonical rows; compare to source separately,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,total_revenue,declared,"decimal(10, 3)",False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:22,communication.Campaign.total_revenue,ExactDecimal,synthetic balanced amounts; currency/scale validation; counter overrides apply,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,updated_at,declared,dateTime(),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:24,communication.Campaign.updated_at,TemporalValue,preserve source unit/zone; zero/ambiguous value HOLD; see time overrides,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,utm_campaign,declared,string(100),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:16,communication.Campaign.utm_campaign,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,utm_content,declared,string(100),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:17,communication.Campaign.utm_content,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,utm_medium,declared,string(100),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:15,communication.Campaign.utm_medium,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
communication,campaign,utm_source,declared,string(100),False,False,False,console/migrations/m240407_062424_campaign.php:22,common/models/Campaign.php:14,communication.Campaign.utm_source,SourceText,synthetic replacement; semantic review before import,PROPOSED; runtime schema and semantic acceptance unverified
