app,inventory_row,inventory_receipt,reported_area,reported_effect,evidence_status,test_data_plan
admin,ADMIN-FO-12,docs/parity/ui-journeys/admin.md:176,`company-contact-form`,"email regex, name/position/allow_access required, password required on create; `is-email-exists` lookup switches the form to ""add to team""",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-13,docs/parity/ui-journeys/admin.md:177,"`bank-form`, `currency-form`, `webhook-form`, `blocked-ip-form`, `country-form`, `university-form`, `major-form`, `degree-form`, `degree-group-form`, `discount-form`, `expense-form`, `email-campaign-form`, `request-checklist-form`, `campaign-form`, `tag-form`, `discount-category-form`, `daily-standup-question-form`","`Validators.required` on all displayed fields (147 `Validators.` usages: `grep -rc ""Validators\."" src/app/pages",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-14,docs/parity/ui-journeys/admin.md:178,`blocked-ip-form`,IP address format is not validated anywhere (client only `required`),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-15,docs/parity/ui-journeys/admin.md:179,`transfer-view`,"Transfer state machine rendered from numeric status: Draft(10)→Locked(5)→Payment Sent(1)→Distribution(3)→Complete(4), Cancelled(0). Buttons shown per status: Delete when status ∈ {10,5,0}; Cancel when 10; Unlock when 5 or 1; Received & Distributing when 1 or 5; Pay by wallet when 3 and unpaid>0; Mark as Paid when 3 and unpaid==0; Revert to Locked when 1",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-16,docs/parity/ui-journeys/admin.md:180,`transfer-view`,After `mark-paid` success the client sets `transfer_status = 4` locally before reloading,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-17,docs/parity/ui-journeys/admin.md:181,`candidate-transfer-detail`,"""Mark paid"" refuses to call the API when no `transfer_confirmation_id` is entered; unpaid/pay-by-wallet confirmations",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-18,docs/parity/ui-journeys/admin.md:182,`transfer-paid`,"Bank import parser chosen client-side by route param string (`AUB`, `KFH`, `BankStatement`, else Google) and passed back on `mark-paid-all {excel, bank}`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-19,docs/parity/ui-journeys/admin.md:183,"`transfer-file-list`, `transfer-file-detail`",Re-schedule offered for files; UI does not check status,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-20,docs/parity/ui-journeys/admin.md:184,`staff-expense-view`,"Expense status machine in UI: Approve(1)/Declined(3) only when status falsy; ""Mark as Reimbursed""(2) only when status==1",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-21,docs/parity/ui-journeys/admin.md:185,`staff-leave-list`,Approve(1)/Declined(2) only when `!leave.status`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-22,docs/parity/ui-journeys/admin.md:186,"`components/candidate`, `components/fulltimer`",Suggestion status buttons (Suggested 1 / Rejected 2 / Accepted 3) hidden only when equal to current,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-23,docs/parity/ui-journeys/admin.md:187,`company-view`,"Company status shown as computed `companyStatus`, and the toggle writes `company_status_override` 1/0 (""override above status to active when not active"")",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-24,docs/parity/ui-journeys/admin.md:188,`company-view`,Follow-up flag/interval and account-manager (`update-staff`) picked in UI via staff picker; follow-up toggle hidden for sub-companies (`!company.parent_company_id`),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-25,docs/parity/ui-journeys/admin.md:189,"`company-view`, `company-list`",Excel export of company list and of a company's candidates triggered from UI with no audit prompt,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-26,docs/parity/ui-journeys/admin.md:190,`payable-candidates`,"Totals (unpaid, payable, missing-bank-info, incomplete-profile) and `totalPayableCandidate` computed client-side by iterating the current page's `unPaidTransferCandidates`; a line is ""missing bank info"" if no `bank_id`/`transfer_benef_iban`/`transfer_benef_name`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-27,docs/parity/ui-journeys/admin.md:191,"`log-hour-list`, `staff-work-session-list`",Total hours / total minutes summed client-side over loaded rows,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-28,docs/parity/ui-journeys/admin.md:192,"`transfer-view` (+ suspicious, file-detail)",Per-line money helpers `totalCompanyPaysForCandidateWithoutBonus = company_total - bonus` computed in the client (the rate×hours version is commented out),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-29,docs/parity/ui-journeys/admin.md:193,`candidate-view`,Approve button only when `!approved && !deleted`; Delete when `!deleted`; Restore when `deleted`; login/reset footer hidden when deleted or limited,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-30,docs/parity/ui-journeys/admin.md:194,"`candidate-view`, `staff-view`, `company-contact-view`, `store-view`",Impersonation: client POSTs `login/{id}` and opens the returned `redirect` URL (`<app>?auth_key=…`) in a new tab; no reason/audit captured in UI,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-31,docs/parity/ui-journeys/admin.md:195,`email-campaign-list`,"Polls `POST /email-campaigns/status-list` every **1 s** while any campaign is status 1 or 3, filtering the id list client-side",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-32,docs/parity/ui-journeys/admin.md:196,`email-campaign-view`,"""Start"" sets status READY via `run/{id}`; UI does not check current status",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-33,docs/parity/ui-journeys/admin.md:197,"`webhook-form`, `webhook-test`",Endpoint URL free text; `method` required client-side; test posts arbitrary `data` JSON,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-34,docs/parity/ui-journeys/admin.md:198,`setting`,Form controls generated from whatever `GET /setting` returns; password-type toggling per key; `isProduction` flag from environment,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-35,docs/parity/ui-journeys/admin.md:199,`dashboard`,"""Clear cache"" calls `GET /statistics/clear-cache` then `window.location.reload()`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-36,docs/parity/ui-journeys/admin.md:200,"`components/image-upload`, `brand-form`, `staff-form`, `upload-file`, `import*`",Direct browser S3 upload with `ACL: 'public-read'` to bucket `studenthub-public-anyone-can-upload-24hr-expiry` using static key/secret fetched from `GET /aws/config`; 18 MB client-side size cap; region default `eu-west-2`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-37,docs/parity/ui-journeys/admin.md:201,"`login`, `login-two-step`, `app.module`, `index.html`","Client-held keys: reCAPTCHA v3 site key (`index.html:30`, `login.page.ts:67`, `login-two-step.page.ts:44`); Auth0 domain+clientId (`app.module.ts:85-86`); Google OAuth clientId (`app.component.ts:59`); Segment write key (`index.html:33-34`); Sentry DSN (`environment.prod.ts:10`); Cloudinary base (`:5`)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-38,docs/parity/ui-journeys/admin.md:202,`candidate-view` (salary tab),Transfers URL built as `/candidates/transfers/{id}&expand=bank` (ampersand instead of `?`),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-39,docs/parity/ui-journeys/admin.md:203,`staff-salary-form`,Edit mode loads `GET /staff/view-salary/{uuid}` which has a URL rule but **no controller action** → 404 → global `error404$` navigates to `not-found`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-40,docs/parity/ui-journeys/admin.md:204,`login-two-step/:token`,Route guarded by `AuthService` (`app-routing.module.ts:931-935`) although the OTP step happens before a token is stored; guard resolves false and redirects to `login` unless a previous session's `loggedInAdmin` remains in Preferences,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-41,docs/parity/ui-journeys/admin.md:205,global,"Session/state persistence: bearer token, id, name, email, `admin_limited_access`, `currency_pref`, `theme` in Capacitor Preferences (web: localStorage); `Preferences.clear()` on logout; 401 → logout; 0/504 or `!navigator.onLine` → `no-internet` page; 500 → `server-error`; 404 → `not-found`; retries: GET/PATCH 1 retry with backoff, POST/DELETE 0, `mark-paid-all` custom (`transfer.service.ts:223-237`); Angular service worker with `freshness` strategy, `maxAge 0` for API (`ngsw-config.json:6-30`)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-42,docs/parity/ui-journeys/admin.md:206,`login`,"Client counts failed attempts (>2 → ""contact us"" alert); no lockout",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-43,docs/parity/ui-journeys/admin.md:207,"`transfer-paid`, `payable-candidates`",`offset`/`limit` for bank-file/advice exports and `only-payable` are user-chosen in the UI and appended to export URLs,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-44,docs/parity/ui-journeys/admin.md:208,`bank-transactions-sync`,Client drives Xero sync page-by-page in a loop until `count == 0`; follows `res.redirect` (OAuth) by setting `location`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-45,docs/parity/ui-journeys/admin.md:209,"`staff-form`, `staff-view`",Gmail username/password captured in the form and displayed back from `staff_gmail_password`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-46,docs/parity/ui-journeys/admin.md:210,"`company-contact-view`, `company-view` notes",Note `type` defaults to `'Internal Note'` and is free text; component shows `note.note_type`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-47,docs/parity/ui-journeys/admin.md:211,`company-view`,`companyContacts` list filtered client-side after delete; contact delete from company view is a hard delete,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
admin,ADMIN-FO-48,docs/parity/ui-journeys/admin.md:212,`candidate-view`,"Civil ID number, expiry, front/back photo links (public S3 URLs), bank account/IBAN rendered to every admin incl. limited",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-01,docs/parity/ui-journeys/candidate-mobile.md:126,`phone`,"Phone must match `^[0-9]{8}$`, `maxlength=8`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-02,docs/parity/ui-journeys/candidate-mobile.md:127,`date-of-birth`,"Picker bounded to `1980-01-01`…today−16y (""min 16 years"")",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-03,docs/parity/ui-journeys/candidate-mobile.md:128,"`civil-expiry`, `id-card`","Expiry bounded today…+20y; `id-card` treats expiry as optional (`Validators.required` commented) and sends `""""`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-04,docs/parity/ui-journeys/candidate-mobile.md:129,`id-card`,Civil ID only `required`; no 12-digit check,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-05,docs/parity/ui-journeys/candidate-mobile.md:130,`update-bank` (modal),Beneficiary name must have ≥2 words; IBAN only `required`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-06,docs/parity/ui-journeys/candidate-mobile.md:131,"`name`, `name-ar`",Full-name word count checked client-side,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-07,docs/parity/ui-journeys/candidate-mobile.md:132,"`introduction`, `objective`, `preferred-time`",`maxlength=100` on inputs,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-08,docs/parity/ui-journeys/candidate-mobile.md:133,"`register`, `email`, `forgot-password`","Email regex, phone 8 digits (SMS reset), password `maxLength(30)`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-09,docs/parity/ui-journeys/candidate-mobile.md:134,`change-password`,Both fields only `required`,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-10,docs/parity/ui-journeys/candidate-mobile.md:135,`log-time-manually`,"end > start (same-day, `hh:mm a`), all fields required, date ≤ today and ≥ 1980",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-11,docs/parity/ui-journeys/candidate-mobile.md:136,`skill-form`,Max 40 skills; duplicates removed client-side,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-12,docs/parity/ui-journeys/candidate-mobile.md:137,"`upload-cv`, photos, video","Client size caps 18 MB / ""5 MB images"" (dead: compares `file.type == 'image'` against a MIME type), CV extension check commented out, video ≤30 s",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-13,docs/parity/ui-journeys/candidate-mobile.md:138,Tab bar,"""Track"" tab shown only when cached `candidate.store_id` set",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-14,docs/parity/ui-journeys/candidate-mobile.md:139,`invitation-detail` → `invitation-feedback`,Client chooses next status (3 accept / 2 reject) and picks the endpoint from it,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-15,docs/parity/ui-journeys/candidate-mobile.md:140,`request-view`,Apply button hidden when `candidateApplication` exists; no open-state check,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-16,docs/parity/ui-journeys/candidate-mobile.md:141,`view/requests`,**No client-side eligibility filtering** (age/gender/availability); list rendered as served,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-17,docs/parity/ui-journeys/candidate-mobile.md:142,`interview-list`,Renders `interview.interview_note` via `[innerHtml]`; ignores `internal_note` in the payload,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-18,docs/parity/ui-journeys/candidate-mobile.md:143,`activity`,"Notification type → component mapping (0 invitation, 1 assigned, 2 unassigned, 3/4 hour approved/rejected, 5/6/7 transfer init/paid/unpaid, 8/9 session approved/rejected, default card) and copy text live in the client",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-19,docs/parity/ui-journeys/candidate-mobile.md:144,"`support`, `ticket-view`, work-log pages, `payments`","Status labels derived client-side: ticket 0/1/10; session/day 0 pending, 1 approved, 2 rejected; salary `'Paid'",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-20,docs/parity/ui-journeys/candidate-mobile.md:145,"`view/track`, dashboard `AccountStatusComponent`","**Geolocation is mandatory in the UI**: `Geolocation.getCurrentPosition({enableHighAccuracy:false, timeout:5000, maximumAge:1200})`; on denial/timeout/no coords the request is **not sent** and an alert ""Location permission required to start/save the work"" is shown. No retry, no manual fallback, no offline queue",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-21,docs/parity/ui-journeys/candidate-mobile.md:146,`view/track`,"Open-session state cached in Preferences (`candidate.isWorking`) and re-checked via `POST /account/current-status`; ""started"" reset locally before the stop call completes; `discard` hard-deletes the open session",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-22,docs/parity/ui-journeys/candidate-mobile.md:147,all HTTP,"Retry-on-error for **every verb including POST/PATCH/DELETE**: 3 attempts, 1/2/3 s back-off, skipped only for 400/401/404/500 and when `navigator.onLine` is false",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-23,docs/parity/ui-journeys/candidate-mobile.md:148,all HTTP,Error handling swallows responses: 400 → `empty()` (authed) or **logout** (unauthed helper); 0/504 → offline page; 401 → logout; 500 → `/server-error`; 404 → `/not-found` (navigates away even for a missing record),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-24,docs/parity/ui-journeys/candidate-mobile.md:149,app shell,"`GET /chats/unread-count` polled **every 1 second** while logged in; a response with `operation:'error'` triggers ""Account deactivated"" toast and logout",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-25,docs/parity/ui-journeys/candidate-mobile.md:150,"dashboard, chat-view, profile","Further polling: invitation count every 30 s (`dashboard.page.ts:285-292`), new chat messages every 5 s (`chat-view.page.ts:184`), video status polls (`profile.page.ts:306`, `dashboard.page.ts:240`, `first-impression.page.ts:70`), email-verified poll (`verify-email.page.ts:165-176`)",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-26,docs/parity/ui-journeys/candidate-mobile.md:151,"`complete-profile`, `profile`",`isProfileCompleted` is set to `true` **locally** by `submit()` and persisted; `CompleteProfileGuard` and post-login routing read only that flag,INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-27,docs/parity/ui-journeys/candidate-mobile.md:152,"`AccountStatusComponent`, `OptionPage`",Job-search status toggled optimistically (`candidate_job_search_status` flipped before the POST; reverted on error),INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-28,docs/parity/ui-journeys/candidate-mobile.md:153,app shell (OneSignal),"Push registration is **entirely client-side**: `OneSignal.setAppId(env)`; audience tagging by `sendTags({candidate_id, name, email})`; the player/device id is read only to `deleteTags` on logout; **no device or player id is ever sent to the backend**; opt-in state kept in Preferences `oneSignal`, `oneSignalStatus`; web build injects `cdn.onesignal.com/sdks/OneSignalSDK.js`",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
candidate-mobile,MOB-FO-29,docs/parity/ui-journeys/candidate-mobile.md:154,`landing`,"Social login: Google id-token, Apple identity-token (Apple name/email cached in Preferences `appleUserDetail` and re-sent on later logins because Apple only returns them once), Auth0 redirect; `utm_uuid` attached to every social login",INVENTORY-ONLY unless explicitly reverified in README; no draft claim promoted to fact,synthetic scenario with fresh server authorization; replace PII/objects; no cached-token or provider-state import
